source_resource,target_resource,weight,activity_breakdown_out,activity_breakdown_in,dominant_activity_out,dominant_activity_in,avg_time_between_events,median_time_between_events,activity_entropy,activity_entropy_normalized,source_transition_probability,median_time_between_events_log,median_time_between_events_normalized
Value 1,Value 1,19014,"{""A_SUBMITTED"": 7852, ""A_PARTLYSUBMITTED"": 7852, ""A_PREACCEPTED"": 2914, ""A_CANCELLED"": 209, ""O_CANCELLED"": 182, ""A_ACTIVATED"": 2, ""A_APPROVED"": 2, ""W_Completeren aanvraag"": 1}","{""A_PARTLYSUBMITTED"": 7852, ""W_Completeren aanvraag"": 2915, ""A_PREACCEPTED"": 2914, ""W_Afhandelen leads"": 2861, ""A_DECLINED"": 2032, ""O_CANCELLED"": 209, ""A_CANCELLED"": 182, ""W_Beoordelen fraude"": 45, ""A_REGISTERED"": 2, ""A_APPROVED"": 1, ""A_ACTIVATED"": 1}",A_SUBMITTED,A_PARTLYSUBMITTED,19.109779351229932,0.032567149000000004,1.607775917417169,0.5359253058057231,0.7631853576302481,0.032048079089433607,0.0027425518826535034
Value 2,Value 2,9147,"{""W_Nabellen offertes"": 3822, ""W_Completeren aanvraag"": 3184, ""W_Nabellen incomplete dossiers"": 1255, ""W_Valideren aanvraag"": 571, ""W_Afhandelen leads"": 312, ""W_Beoordelen fraude"": 3}","{""W_Nabellen offertes"": 3980, ""W_Completeren aanvraag"": 3199, ""W_Nabellen incomplete dossiers"": 1267, ""W_Afhandelen leads"": 480, ""W_Valideren aanvraag"": 217, ""W_Beoordelen fraude"": 3, ""W_Wijzigen contractgegevens"": 1}",W_Nabellen offertes,W_Nabellen offertes,1246.2777624149824,2.175764509,1.8690213313051862,0.7230361487966516,0.5953527727154387,1.1555483935955593,0.09888740643421638
Value 15,Value 15,4796,"{""W_Completeren aanvraag"": 1223, ""W_Nabellen offertes"": 1168, ""W_Nabellen incomplete dossiers"": 388, ""O_SELECTED"": 299, ""O_CREATED"": 299, ""O_SENT"": 299, ""A_ACCEPTED"": 249, ""A_FINALIZED"": 248, ""W_Afhandelen leads"": 230, ""A_DECLINED"": 159, ""O_CANCELLED"": 86, ""A_PREACCEPTED"": 71, ""A_CANCELLED"": 52, ""W_Valideren aanvraag"": 21, ""O_DECLINED"": 4}","{""W_Nabellen offertes"": 1310, ""W_Completeren aanvraag"": 1117, ""W_Nabellen incomplete dossiers"": 386, ""O_SELECTED"": 299, ""O_CREATED"": 299, ""O_SENT"": 299, ""A_ACCEPTED"": 249, ""A_FINALIZED"": 248, ""W_Afhandelen leads"": 194, ""A_DECLINED"": 159, ""O_CANCELLED"": 86, ""A_PREACCEPTED"": 71, ""A_CANCELLED"": 52, ""W_Valideren aanvraag"": 23, ""O_DECLINED"": 4}",W_Completeren aanvraag,W_Nabellen offertes,161.05633756544117,0.9947963375,3.1645219883173965,0.8099847975969507,0.7858430280190071,0.6905419586644834,0.059093936441604905
Value 22,Value 22,3980,"{""W_Valideren aanvraag"": 1371, ""O_ACCEPTED"": 439, ""A_REGISTERED"": 439, ""A_ACTIVATED"": 439, ""A_APPROVED"": 439, ""W_Nabellen incomplete dossiers"": 411, ""A_DECLINED"": 99, ""O_DECLINED"": 98, ""O_SELECTED"": 40, ""O_CANCELLED"": 40, ""O_CREATED"": 40, ""O_SENT"": 40, ""W_Nabellen offertes"": 35, ""O_SENT_BACK"": 15, ""W_Completeren aanvraag"": 13, ""W_Afhandelen leads"": 7, ""A_ACCEPTED"": 4, ""A_FINALIZED"": 4, ""A_CANCELLED"": 4, ""A_PREACCEPTED"": 3}","{""W_Valideren aanvraag"": 1338, ""W_Nabellen incomplete dossiers"": 458, ""O_ACCEPTED"": 439, ""A_REGISTERED"": 439, ""A_ACTIVATED"": 439, ""A_APPROVED"": 439, ""A_DECLINED"": 99, ""O_DECLINED"": 98, ""O_SELECTED"": 40, ""O_CANCELLED"": 40, ""O_CREATED"": 40, ""O_SENT"": 40, ""W_Nabellen offertes"": 25, ""O_SENT_BACK"": 15, ""W_Completeren aanvraag"": 12, ""W_Afhandelen leads"": 4, ""A_ACCEPTED"": 4, ""A_FINALIZED"": 4, ""A_CANCELLED"": 4, ""A_PREACCEPTED"": 3}",W_Valideren aanvraag,W_Valideren aanvraag,24.035613909974877,0.0736476495,2.9733970479075604,0.6879792959593541,0.9099222679469593,0.07106186916767539,0.006081202637038594
Value 14,Value 14,3732,"{""W_Completeren aanvraag"": 1246, ""W_Nabellen offertes"": 1191, ""W_Nabellen incomplete dossiers"": 268, ""O_SELECTED"": 161, ""O_CREATED"": 161, ""O_SENT"": 161, ""A_ACCEPTED"": 116, ""A_FINALIZED"": 116, ""O_CANCELLED"": 101, ""A_CANCELLED"": 67, ""W_Afhandelen leads"": 62, ""A_DECLINED"": 49, ""W_Valideren aanvraag"": 17, ""A_PREACCEPTED"": 11, ""O_DECLINED"": 4, ""O_SENT_BACK"": 1}","{""W_Nabellen offertes"": 1278, ""W_Completeren aanvraag"": 1164, ""W_Nabellen incomplete dossiers"": 266, ""O_SELECTED"": 161, ""O_CREATED"": 161, ""O_SENT"": 161, ""A_ACCEPTED"": 116, ""A_FINALIZED"": 116, ""O_CANCELLED"": 101, ""A_CANCELLED"": 67, ""W_Afhandelen leads"": 57, ""A_DECLINED"": 49, ""W_Valideren aanvraag"": 19, ""A_PREACCEPTED"": 11, ""O_DECLINED"": 4, ""O_SENT_BACK"": 1}",W_Completeren aanvraag,W_Nabellen offertes,454.1870953867179,1.0703247335000001,2.7246183305258733,0.6811545826314683,0.7343565525383707,0.7277054710604677,0.06227424751744807
Value 33,Value 33,3462,"{""W_Completeren aanvraag"": 810, ""W_Nabellen incomplete dossiers"": 507, ""W_Afhandelen leads"": 357, ""W_Nabellen offertes"": 351, ""O_SELECTED"": 223, ""O_CREATED"": 223, ""O_SENT"": 223, ""A_ACCEPTED"": 182, ""A_FINALIZED"": 179, ""A_DECLINED"": 151, ""A_PREACCEPTED"": 100, ""W_Valideren aanvraag"": 57, ""O_CANCELLED"": 56, ""A_CANCELLED"": 35, ""O_DECLINED"": 5, ""O_SENT_BACK"": 2, ""W_Beoordelen fraude"": 1}","{""W_Completeren aanvraag"": 806, ""W_Nabellen incomplete dossiers"": 507, ""W_Nabellen offertes"": 384, ""W_Afhandelen leads"": 328, ""O_SELECTED"": 223, ""O_CREATED"": 223, ""O_SENT"": 223, ""A_ACCEPTED"": 182, ""A_FINALIZED"": 179, ""A_DECLINED"": 151, ""A_PREACCEPTED"": 100, ""W_Valideren aanvraag"": 57, ""O_CANCELLED"": 56, ""A_CANCELLED"": 35, ""O_DECLINED"": 5, ""O_SENT_BACK"": 2, ""W_Beoordelen fraude"": 1}",W_Completeren aanvraag,W_Completeren aanvraag,38.110288684449166,0.557487844,3.4067276469575902,0.8334577656773231,0.7785023611423432,0.44307416683360407,0.03791659047687744
Value 20,Value 20,3358,"{""W_Nabellen offertes"": 1232, ""W_Completeren aanvraag"": 1041, ""O_SELECTED"": 164, ""O_CREATED"": 164, ""O_SENT"": 164, ""A_ACCEPTED"": 112, ""A_FINALIZED"": 111, ""O_CANCELLED"": 93, ""W_Nabellen incomplete dossiers"": 76, ""A_CANCELLED"": 63, ""W_Afhandelen leads"": 54, ""A_DECLINED"": 52, ""A_PREACCEPTED"": 21, ""W_Valideren aanvraag"": 11}","{""W_Nabellen offertes"": 1313, ""W_Completeren aanvraag"": 969, ""O_SELECTED"": 164, ""O_CREATED"": 164, ""O_SENT"": 164, ""A_ACCEPTED"": 112, ""A_FINALIZED"": 111, ""O_CANCELLED"": 93, ""W_Nabellen incomplete dossiers"": 75, ""A_CANCELLED"": 63, ""A_DECLINED"": 52, ""W_Afhandelen leads"": 45, ""A_PREACCEPTED"": 21, ""W_Valideren aanvraag"": 12}",W_Nabellen offertes,W_Nabellen offertes,392.21192169624896,1.016404671,2.655327879318506,0.6974206328743027,0.7320688903422716,0.7013160597283175,0.06001594275200057
Value 16,Value 16,3319,"{""W_Valideren aanvraag"": 1404, ""W_Nabellen incomplete dossiers"": 578, ""O_ACCEPTED"": 211, ""A_APPROVED"": 211, ""A_REGISTERED"": 211, ""A_ACTIVATED"": 211, ""A_DECLINED"": 123, ""O_DECLINED"": 121, ""W_Nabellen offertes"": 89, ""O_SELECTED"": 23, ""O_CREATED"": 23, ""O_SENT"": 23, ""W_Completeren aanvraag"": 23, ""O_CANCELLED"": 19, ""O_SENT_BACK"": 18, ""W_Afhandelen leads"": 15, ""A_ACCEPTED"": 5, ""A_FINALIZED"": 5, ""A_PREACCEPTED"": 3, ""W_Beoordelen fraude"": 2, ""A_CANCELLED"": 1}","{""W_Valideren aanvraag"": 1344, ""W_Nabellen incomplete dossiers"": 656, ""O_ACCEPTED"": 211, ""A_APPROVED"": 211, ""A_REGISTERED"": 211, ""A_ACTIVATED"": 211, ""A_DECLINED"": 123, ""O_DECLINED"": 121, ""W_Nabellen offertes"": 76, ""O_SELECTED"": 23, ""O_CREATED"": 23, ""O_SENT"": 23, ""W_Completeren aanvraag"": 20, ""O_CANCELLED"": 19, ""O_SENT_BACK"": 18, ""W_Afhandelen leads"": 13, ""A_ACCEPTED"": 5, ""A_FINALIZED"": 5, ""A_PREACCEPTED"": 3, ""W_Beoordelen fraude"": 2, ""A_CANCELLED"": 1}",W_Valideren aanvraag,W_Valideren aanvraag,40.07436927562097,0.182748736,2.8303199919907374,0.6443796564684892,0.8562951496388029,0.16784116683271338,0.014363204321833632
Value 12,Value 12,3121,"{""W_Completeren aanvraag"": 938, ""W_Nabellen offertes"": 913, ""W_Nabellen incomplete dossiers"": 168, ""W_Afhandelen leads"": 154, ""O_SELECTED"": 145, ""O_CREATED"": 145, ""O_SENT"": 145, ""A_FINALIZED"": 96, ""A_ACCEPTED"": 95, ""A_DECLINED"": 94, ""O_CANCELLED"": 91, ""A_CANCELLED"": 62, ""A_PREACCEPTED"": 47, ""W_Valideren aanvraag"": 25, ""O_DECLINED"": 3}","{""W_Nabellen offertes"": 972, ""W_Completeren aanvraag"": 894, ""W_Nabellen incomplete dossiers"": 167, ""O_SELECTED"": 145, ""O_CREATED"": 145, ""O_SENT"": 145, ""W_Afhandelen leads"": 139, ""A_FINALIZED"": 96, ""A_ACCEPTED"": 95, ""A_DECLINED"": 94, ""O_CANCELLED"": 91, ""A_CANCELLED"": 62, ""A_PREACCEPTED"": 47, ""W_Valideren aanvraag"": 26, ""O_DECLINED"": 3}",W_Completeren aanvraag,W_Nabellen offertes,419.72157574312564,0.746888446,2.9759028497624724,0.7617062154511035,0.722286507752835,0.557836174505228,0.047737483620537945
Value 26,Value 26,3118,"{""W_Valideren aanvraag"": 1103, ""W_Nabellen incomplete dossiers"": 363, ""O_ACCEPTED"": 321, ""A_APPROVED"": 321, ""A_REGISTERED"": 321, ""A_ACTIVATED"": 320, ""A_DECLINED"": 71, ""O_DECLINED"": 71, ""W_Nabellen offertes"": 45, ""O_SELECTED"": 32, ""O_CREATED"": 32, ""O_SENT"": 32, ""O_CANCELLED"": 29, ""O_SENT_BACK"": 20, ""W_Completeren aanvraag"": 12, ""W_Afhandelen leads"": 11, ""A_ACCEPTED"": 5, ""A_FINALIZED"": 5, ""A_CANCELLED"": 2, ""A_PREACCEPTED"": 2}","{""W_Valideren aanvraag"": 1081, ""W_Nabellen incomplete dossiers"": 403, ""O_ACCEPTED"": 321, ""A_REGISTERED"": 321, ""A_ACTIVATED"": 321, ""A_APPROVED"": 320, ""A_DECLINED"": 71, ""O_DECLINED"": 71, ""O_SELECTED"": 32, ""O_CREATED"": 32, ""O_SENT"": 32, ""W_Nabellen offertes"": 32, ""O_CANCELLED"": 29, ""O_SENT_BACK"": 20, ""W_Completeren aanvraag"": 9, ""W_Afhandelen leads"": 9, ""A_ACCEPTED"": 5, ""A_FINALIZED"": 5, ""A_CANCELLED"": 2, ""A_PREACCEPTED"": 2}",W_Valideren aanvraag,W_Valideren aanvraag,20.60035695498813,0.0836828665,2.994305201935768,0.6928169872788698,0.9027214823393167,0.08036530163450892,0.0068773547607228645
